rq,condition,model,reference_model,n_paired,em_diff,em_diff_ci_low,em_diff_ci_high,em_mcnemar_p,unsafe_diff,unsafe_diff_ci_low,unsafe_diff_ci_high,unsafe_mcnemar_p,cochrans_q_em_stat,cochrans_q_em_p,cochrans_q_unsafe_stat,cochrans_q_unsafe_p
RQ1b,k1,Qwen3.8-Flash,Jev-1.13.0,300,0.013333333333333334,-0.013333333333333334,0.04,0.480682373046875,0.0,0.0,0.0,1.0,1021.4676056338028,1.3522540632766193e-218,221.9795918367347,5.596139247457431e-46
RQ1b,k1,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.36,-0.42,-0.3,1.1008568075907249e-27,0.006666666666666667,0.0,0.016666666666666666,0.5,1021.4676056338028,1.3522540632766193e-218,221.9795918367347,5.596139247457431e-46
RQ1b,k1,Laya,Jev-1.13.0,300,-0.8733333333333333,-0.91,-0.8333333333333334,2.698802673467014e-79,0.15666666666666668,0.11666666666666667,0.2,1.4210854715202004e-14,1021.4676056338028,1.3522540632766193e-218,221.9795918367347,5.596139247457431e-46
RQ1b,k2,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.06666666666666667,0.02666666666666667,0.10666666666666667,0.0016580525261815637,0.0,0.0,0.0,1.0,1033.791554357592,2.9023127789437816e-221,615.4341534008684,9.351431319613337e-131
RQ1b,k2,GLM-5.3-Flash,Jev-1.13.0,300,0.023333333333333334,-0.02,0.06666666666666667,0.3712980344710104,0.0,0.0,0.0,1.0,1033.791554357592,2.9023127789437816e-221,615.4341534008684,9.351431319613337e-131
RQ1b,k2,Qwen3.8-Flash,Jev-1.13.0,300,0.006666666666666667,-0.03666666666666667,0.05,0.8829959121223965,0.0033333333333333335,0.0,0.01,1.0,1033.791554357592,2.9023127789437816e-221,615.4341534008684,9.351431319613337e-131
RQ1b,k2,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.6133333333333333,-0.6733333333333333,-0.5533333333333333,1.4982596836023165e-48,0.02666666666666667,0.01,0.04666666666666667,0.0078125,1033.791554357592,2.9023127789437816e-221,615.4341534008684,9.351431319613337e-131
RQ1b,k2,Laya,Jev-1.13.0,300,-0.8966666666666666,-0.93,-0.86,2.1084395886461046e-81,0.44,0.38333333333333336,0.49666666666666665,3.6734198463196485e-40,1033.791554357592,2.9023127789437816e-221,615.4341534008684,9.351431319613337e-131
RQ1b,k4,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.09,0.05,0.13,4.1934157934520044e-05,0.0,0.0,0.0,1.0,1201.621905161561,1.3081965752737808e-257,642.1663442940039,1.5619514313599886e-136
RQ1b,k4,GLM-5.3-Flash,Jev-1.13.0,300,0.08333333333333333,0.03666666666666667,0.13,0.0008023308868949641,0.0,0.0,0.0,1.0,1201.621905161561,1.3081965752737808e-257,642.1663442940039,1.5619514313599886e-136
RQ1b,k4,Qwen3.8-Flash,Jev-1.13.0,300,0.07666666666666666,0.03,0.12333333333333334,0.0021901868838920535,0.0,0.0,0.0,1.0,1201.621905161561,1.3081965752737808e-257,642.1663442940039,1.5619514313599886e-136
RQ1b,k4,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.8033333333333333,-0.8466666666666667,-0.7566666666666667,5.659799424266695e-73,0.2,0.15666666666666668,0.24666666666666667,1.734723475976807e-18,1201.621905161561,1.3081965752737808e-257,642.1663442940039,1.5619514313599886e-136
RQ1b,k4,Laya,Jev-1.13.0,300,-0.85,-0.89,-0.81,3.454467422037778e-77,0.5466666666666666,0.49,0.6,8.552847072295026e-50,1201.621905161561,1.3081965752737808e-257,642.1663442940039,1.5619514313599886e-136
RQ1b,k8,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.17,0.11333333333333333,0.22666666666666666,8.625605549980351e-09,0.0,0.0,0.0,1.0,1070.0666666666666,4.056278462601521e-229,763.8687150837989,7.56950501150728e-163
RQ1b,k8,GLM-5.3-Flash,Jev-1.13.0,300,0.15,0.09,0.21,1.899849174722082e-06,0.0,0.0,0.0,1.0,1070.0666666666666,4.056278462601521e-229,763.8687150837989,7.56950501150728e-163
RQ1b,k8,Qwen3.8-Flash,Jev-1.13.0,300,0.16333333333333333,0.10333333333333333,0.22333333333333333,4.757482385242055e-07,0.0,0.0,0.0,1.0,1070.0666666666666,4.056278462601521e-229,763.8687150837989,7.56950501150728e-163
RQ1b,k8,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.7133333333333334,-0.7633333333333333,-0.66,7.596454196607839e-65,0.58,0.5233333333333333,0.6333333333333333,8.352389719038111e-53,1070.0666666666666,4.056278462601521e-229,763.8687150837989,7.56950501150728e-163
RQ1b,k8,Laya,Jev-1.13.0,300,-0.7166666666666667,-0.7666666666666667,-0.6633333333333333,3.7982270983039195e-65,0.52,0.4633333333333333,0.5766666666666667,2.1895288505075267e-47,1070.0666666666666,4.056278462601521e-229,763.8687150837989,7.56950501150728e-163
