model,role,rq,condition,n,em,em_ci_low,em_ci_high,macro_field_acc,macro_field_acc_ci_low,macro_field_acc_ci_high,valid_rate,valid_rate_ci_low,valid_rate_ci_high,unsafe_rate,unsafe_rate_ci_low,unsafe_rate_ci_high,spurious_rate,spurious_rate_ci_low,spurious_rate_ci_high,missed_rate,missed_rate_ci_low,missed_rate_ci_high,rq1b_request_em,rq1b_request_em_ci_low,rq1b_request_em_ci_high,rq1b_message_all_correct,seen_top1,seen_top1_ci_low,seen_top1_ci_high,unseen_top1,unseen_top1_ci_low,unseen_top1_ci_high,unsupported_f1,unsupported_f1_ci_low,unsupported_f1_ci_high,latency_p50,latency_p50_ci_low,latency_p50_ci_high,latency_p95,latency_p95_ci_low,latency_p95_ci_high,latency_p99,output_tokens_median,cost_mean_usd_per_call,cost_usd_per_1000_correct,flag_valid_lt_50
Jev-1.13.0,main,RQ1b,k1,300,0.9533333333333334,0.9299166666666668,0.9766666666666667,0.9883333333333333,0.9824791666666667,0.9941666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.03058823529411765,0.016055045871559634,0.0477326968973747,0.0012903225806451613,0.0,0.003926701570680628,0.9533333333333334,0.9299166666666668,0.9766666666666667,0.9533333333333334,,,,,,,,,,0.27211591647937894,0.2647744584828615,0.27663627127185464,0.37190650654956703,0.35225995164364576,0.38719932907260957,0.42747364290058587,181.0,3.44778e-05,0.03616552447552448,False
DeepSeek-V4.1-Flash,main,RQ1b,k1,300,0.9866666666666667,0.9733333333333334,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9991666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.009411764705882352,0.00228310502283105,0.01937046004842615,0.0,0.0,0.0,0.9866666666666667,0.9733333333333334,0.9966666666666667,0.9866666666666667,,,,,,,,,,0.37898322846740484,0.37432249034754933,0.3885498126037419,0.5515643463935705,0.523890970647335,0.6482623244635777,8.367791087189673,26.0,0.00010984900000000001,0.11133344594594592,False
GLM-5.3-Flash,main,RQ1b,k1,300,0.9833333333333333,0.9666666666666667,0.9966666666666667,0.9958333333333333,0.9916666666666667,0.9991666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.007058823529411765,0.0,0.01639344262295082,0.0025806451612903226,0.0,0.006493506493506494,0.9833333333333333,0.9666666666666667,0.9966666666666667,0.9833333333333333,,,,,,,,,,0.5828418750315905,0.5671297088265419,0.6007453752681613,0.8166815232019872,0.7916530852671713,0.9669971641618761,1.4044598468113674,34.0,3.93025e-05,0.039968644067796606,False
Qwen3.8-Flash,main,RQ1b,k1,300,0.9666666666666667,0.9433333333333334,0.9866666666666667,0.9916666666666667,0.9858333333333333,0.9966666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.023529411764705882,0.00963855421686747,0.038834951456310676,0.0,0.0,0.0,0.9666666666666667,0.9433333333333334,0.9866666666666667,0.9666666666666667,,,,,,,,,,1.302290374878794,1.263946020975709,1.335807021241635,2.2214695476926862,1.8209276827983558,2.553023129468784,4.193768239375197,30.0,5.236206666666668e-05,0.054167655172413794,False
SemIf-Qwen3.5-4B,main,RQ1b,k1,300,0.5933333333333334,0.5366666666666666,0.65,0.895,0.88,0.91,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,0.2635294117647059,0.22488038277511962,0.3044520438577815,0.011612903225806452,0.005089058524173028,0.019506486711638484,0.5933333333333334,0.5366666666666666,0.65,0.5933333333333334,,,,,,,,,,0.12079500895924866,0.1207674175966531,0.12080783885903656,0.1209186638938263,0.12085918458178639,0.12206584389787173,0.21884060556534676,0.0,,,False
Laya,main,RQ1b,k1,300,0.08,0.05,0.11333333333333333,0.6658333333333334,0.645,0.6858333333333333,1.0,1.0,1.0,0.15666666666666668,0.11666666666666667,0.2,0.8047058823529412,0.7711670480549199,0.8384074941451991,0.003870967741935484,0.0,0.008928571428571428,0.08,0.05,0.11333333333333333,0.08,,,,,,,,,,0.05482640047557652,0.05482502025552094,0.054827913641929626,0.05580623080022633,0.0549682548432611,0.06286117422860117,0.21485204127617177,0.0,,,False
Qwen3.5-4B-JSON,reference,RQ1b,k1,300,0.43333333333333335,0.37666666666666665,0.49,0.8433333333333334,0.8258333333333333,0.86,1.0,1.0,1.0,0.0,0.0,0.0,0.31529411764705884,0.27122641509433965,0.3621146259171323,0.007741935483870968,0.002551020408163265,0.014322916666666666,0.43333333333333335,0.37666666666666665,0.49,0.43333333333333335,,,,,,,,,,0.7648202294949442,0.7473434619605541,0.7658547211904079,0.7937883588019761,0.791792728449218,0.8139069378376007,0.8400064536370336,30.0,,,False
Rule,reference,RQ1b,k1,300,0.06666666666666667,0.04,0.09666666666666666,0.5575,0.5341666666666667,0.5808333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367741935483871,0.5147995648316572,0.5578144853875476,0.06666666666666667,0.04,0.09666666666666666,0.06666666666666667,,,,,,,,,,1.8001068383455276e-05,1.708371564745903e-05,1.9354280084371567e-05,3.521069884300232e-05,3.370949998497963e-05,3.7510087713599206e-05,3.944815136492238e-05,0.0,,,False
Jev-1.13.0,main,RQ1b,k2,300,0.8966666666666666,0.86,0.93,0.9741666666666666,0.965,0.9825,1.0,1.0,1.0,0.0,0.0,0.0,0.03411764705882353,0.022754491017964073,0.04626416897324369,0.0012903225806451613,0.0,0.0032530904359141183,0.9483333333333334,0.93,0.965,0.8966666666666666,,,,,,,,,,0.27605185471475124,0.2705175830051303,0.28257002076134086,0.3587482602335513,0.33950977446511393,0.3756748415529728,0.4097940584830929,359.0,5.976446000000001e-05,0.06665181412639405,False
DeepSeek-V4.1-Flash,main,RQ1b,k2,300,0.9633333333333334,0.94,0.9833333333333333,0.9908333333333333,0.985,0.9958333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.012941176470588235,0.005868544600938967,0.020882276853925307,0.0,0.0,0.0,0.9816666666666667,0.97,0.9916666666666667,0.9633333333333334,,,,,,,,,,0.412781729362905,0.4094404582865536,0.4195311455987394,0.6259434706531466,0.5362783166579903,0.7159004564862702,0.9353970268461853,54.0,0.000169215,0.17565570934256053,False
