part,cell,model,deployment,n_arrivals,n_supported,primary_metric,strict_completion,strict_ci_low,strict_ci_high,operational_completion,operational_ci_low,operational_ci_high,share_success,share_wrong_or_late,share_queue_expired,share_queue_overflow,share_decision_late,share_decision_timeout,share_invalid_decision,share_unsupported,share_no_feasible_node,share_ocr_returned,share_ocr_error,share_undeployed,share_invalid_labels,share_service_queue_expired,share_service_aborted,share_service_transport_or_integrity_error,share_aborted,share_aborted_before_dispatch,T_p50_completions,T_p50_completions_ci_low,T_p50_completions_ci_high,T_p95_completions,T_p95_completions_ci_low,T_p95_completions_ci_high,T_p99_completions,T_p50_shared,T_p50_shared_ci_low,T_p50_shared_ci_high,T_p95_shared,T_p95_shared_ci_low,T_p95_shared_ci_high,T_p99_shared,n_shared_with_anchor,shared_anchor,cost_usd_known,unknown_cost_calls,usd_per_correct_completion,api_calls,cache_hits,locality_violations,offsite_bytes,false_admissions,correct_rejections,mean_admission_wait_s,mean_decision_s,mean_service_queue_s,mean_transfer_s,mean_execution_s
B,steady_changing_on,Qwen3.8-Flash,hosted,240,180,operational,0.277778,0.187845,0.366667,0.277778,0.187845,0.366667,0,0,0.0125,0,0.358333,0,0,0,0.00416667,0.454167,0,0.170833,0,0,0,0,0,0,1.54122,1.39061,1.65479,1.95257,1.81328,1.99625,1.99762,1.54122,1.39061,1.65479,1.95257,1.81328,1.99625,1.99762,50,Jev-1.13.0,0.00863951,0,0.00017279,237,0,0,0,0,41,0.32172,1.57579,0.000969668,,0.0742917
B,steady_changing_on,SemIf-Qwen3.5-4B,self-hosted,240,180,operational,0.0333333,0,0.1,0.0388889,0,0.116667,0,0,0.375,0,0.545833,0,0,0,0,0.0625,0,0.0166667,0,0,0,0,0,0,0.698775,0.698775,0.698775,1.72288,1.72288,1.75215,1.74629,0.698775,0.698775,0.698775,1.72288,1.72288,1.75215,1.74629,7,SemIf-Qwen3.5-4B,0,0,,150,0,0,0,0,4,1.08921,3.03805,3.82972e-05,,0.0737768
B,steady_changing_on,Laya,self-hosted,240,180,operational,0.0444444,0.0222222,0.0662983,0.255556,0.174863,0.344444,0,0,0,0,0,0,0,0.225,0,0.454167,0,0.320833,0,0,0,0,0,0,0.17919,0.176169,0.186905,0.222757,0.207315,0.248972,0.252943,0.182974,0.182974,0.182974,0.208088,0.208088,0.211805,0.211062,4,SemIf-Qwen3.5-4B,0,0,,240,0,0,0,0,60,0.00186723,0.101807,0.00166783,,0.0802632
B,steady_changing_on,Qwen3.5-4B-JSON,self-hosted,240,180,operational,0.0111111,0,0.0333333,0.0111111,0,0.0333333,0,0,0.683333,0,0.3,0,0,0,0,0.0125,0,0.00416667,0,0,0,0,0,0,1.10379,1.10379,1.10379,1.19622,1.19622,1.20649,1.20443,1.10379,1.10379,1.10379,1.19622,1.19622,1.20649,1.20443,2,SemIf-Qwen3.5-4B,0,0,,76,0,0,0,0,1,1.31715,6.28068,3.4625e-05,,0.0850437
B,steady_repeated_off,Jev-1.13.0,hosted,240,180,operational,0.5,0.438889,0.564246,0.5,0.438889,0.564246,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0.336318,0.328561,0.343266,0.470112,0.432982,0.507446,0.523917,0.336318,0.328561,0.343266,0.470112,0.432982,0.507446,0.523917,90,Jev-1.13.0,0.00817488,0,9.0832e-05,240,0,0,0,0,60,0.00191092,0.274429,0.00345277,,0.0729686
B,steady_repeated_off,DeepSeek-V4.1-Flash,hosted,240,180,operational,0.494444,0.435754,0.559322,0.494444,0.435754,0.559322,0,0,0,0,0.00833333,0,0,0,0,0.741667,0,0.25,0,0,0,0,0,0,0.484564,0.475706,0.496699,0.764288,0.726199,1.55197,1.5617,0.484564,0.475706,0.496699,0.764288,0.726199,1.55197,1.5617,89,Jev-1.13.0,0.0254784,0,0.000286274,240,0,0,0,0,60,0.00459705,0.51748,0.00667601,,0.066287
B,steady_repeated_off,GLM-5.3-Flash,hosted,240,180,operational,0.45,0.366667,0.530387,0.45,0.366667,0.530387,0,0,0,0,0.0666667,0,0,0,0.00416667,0.695833,0,0.233333,0,0,0,0,0,0,0.649876,0.646338,0.694929,1.31892,0.828155,1.58759,1.67393,0.649876,0.646338,0.694929,1.31892,0.828155,1.58759,1.67393,81,Jev-1.13.0,0.00897132,0,0.000110757,240,0,0,0,0,56,0.107741,0.712894,0.00185456,,0.0608161
B,steady_repeated_off,Qwen3.8-Flash,hosted,240,180,operational,0.322222,0.224702,0.424581,0.322222,0.224702,0.424581,0,0,0.0375,0,0.325,0,0,0,0.0125,0.458333,0,0.166667,0,0,0,0,0,0,1.41215,1.35782,1.51865,1.92326,1.81814,1.98698,1.96496,1.41215,1.35782,1.51865,1.92326,1.81814,1.98698,1.96496,58,Jev-1.13.0,0.00975292,0,0.000168154,231,0,0,0,0,40,0.377447,1.50958,0.000315031,,0.0638624
B,steady_repeated_off,SemIf-Qwen3.5-4B,self-hosted,240,180,operational,0.0111111,0,0.0333333,0.0111111,0,0.0333333,0,0,0.358333,0,0.629167,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,1.09795,1.09795,1.09795,1.13544,1.13544,1.13961,1.13878,1.09795,1.09795,1.09795,1.13544,1.13544,1.13961,1.13878,2,SemIf-Qwen3.5-4B,0,0,,154,0,0,0,0,0,1.30387,3.07595,3.65833e-05,,0.0777133
B,steady_repeated_off,Laya,self-hosted,240,180,operational,0,0,0,0.233333,0.188889,0.283333,0,0,0,0,0,0,0,0.25,0,0.375,0,0.375,0,0,0,0,0,0,0.171943,0.16618,0.177557,0.222823,0.218728,0.269148,0.254362,,,,,,,,0,SemIf-Qwen3.5-4B,0,0,,240,0,0,0,0,60,0.00174132,0.0935561,0.00108803,,0.0814602
