part,cell,model,anchor,deployment,G_primary,G_primary_ci_low,G_primary_ci_high,G_primary_p,G_operational,G_operational_ci_low,G_operational_ci_high,dT95,dT95_ci_low,dT95_ci_high,dT95_p,dT50,dT50_ci_low,dT50_ci_high,n_shared,h7_eligible
A,reuse_repeated_off,GLM-5.3-Flash,Jev-1.13.0,hosted,0.22,0.0533333,0.413417,0.0024,0.22,0.0533333,0.413417,1.3388,0.872998,1.44177,9.999e-05,0.476761,0.426318,0.608598,234,true
A,reuse_repeated_off,Qwen3.8-Flash,Jev-1.13.0,hosted,0.966667,0.92,1,9.999e-05,0.966667,0.92,1,1.21559,1.03398,1.48389,0.000102965,1.30535,1.05965,1.46713,10,false
A,reuse_repeated_off,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.1,-0.123333,-0.0766667,9.999e-05,-0.603333,-0.653333,-0.553333,,,,,,,,0,false
A,reuse_repeated_off,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.01,0,0.03,0.698,0.00666667,0,0.02,0.554242,0.554242,0.554242,0.000153586,0.554242,0.554242,0.554242,1,false
A,reuse_repeated_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,0.0001876,-0.0011854,0.236883,0.8836,0.000495,-0.0005435,0.00110204,300,true
A,reuse_repeated_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,0.00075785,-0.0013915,0.443297,0.8464,0.000522,-0.000375063,0.0010395,300,true
A,reuse_repeated_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0.03,0,0.09,0.698,0.03,0,0.09,0.0054845,-0.001171,1.18827,0.3468,0.000294,-0.000269,0.000922,291,true
A,reuse_repeated_on,Laya,SemIf-Qwen3.5-4B,self-hosted,0.84,0.726667,0.913333,9.999e-05,0.336667,0.236667,0.413333,-0.0027765,-1.15019,0.0003898,0.1992,-0.001161,-0.0084315,0.001477,31,true
A,reuse_repeated_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.376667,0.33,0.42,9.999e-05,0.0633333,0,0.15,8.54e-05,-0.00096225,0.000659,0.8092,-0.000132,-0.000372,0.000977425,173,true
A,bursty,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0366667,-0.0533333,-0.02,9.999e-05,0.00333333,0,0.01,0.4626,0.178188,0.597733,9.999e-05,0.139967,0.112108,0.182242,282,true
